#data decimated by hand by Tod,,
#Time,Eng. Strain,Eng. Stress
0,0,0
0.13,0.000043,0.155304
0.35,0.000128,0.414689
0.59,0.000204,0.648174
0.77,0.000272,0.849156
0.95,0.000331,1.01542
1.15,0.00039,1.20111
1.33,0.000452,1.39136
1.53,0.000515,1.56037
1.73,0.000578,1.7479
1.93,0.000647,1.93985
2.15,0.000715,2.13046
2.35,0.000784,2.32161
2.55,0.00085,2.5012
2.75,0.000908,2.66896
2.95,0.000978,2.86769
3.15,0.001037,3.03414
3.35,0.001108,3.2086
3.55,0.001178,3.39564
3.75,0.001235,3.55557
3.95,0.001307,3.74174
4.15,0.001367,3.90523
4.35,0.001434,4.07291
4.55,0.001499,4.25394
4.75,0.001566,4.41628
4.95,0.001629,4.57513
5.15,0.001696,4.75804
5.35,0.001756,4.91448
5.55,0.001826,5.08138
5.75,0.001897,5.25405
5.95,0.00196,5.41162
6.15,0.00203,5.58467
6.35,0.002097,5.74983
6.55,0.00216,5.90008
6.75,0.002233,6.07888
6.95,0.002292,6.21475
7.15,0.002356,6.37578
7.35,0.002425,6.5275
7.55,0.00249,6.67897
7.75,0.00256,6.83377
7.95,0.002624,6.99326
8.15,0.00269,7.1396
8.35,0.002766,7.30545
8.55,0.002831,7.45056
8.75,0.002896,7.60041
8.95,0.002965,7.75321
9.15,0.003029,7.89511
9.35,0.003097,8.0472
9.55,0.003169,8.19704
9.75,0.003237,8.33654
9.95,0.00331,8.49466
10.15,0.00337,8.6266
10.35,0.003438,8.76448
10.55,0.003508,8.91563
10.75,0.003574,9.04231
10.95,0.003642,9.19138
11.15,0.003716,9.33091
11.35,0.003779,9.46777
11.55,0.00385,9.61422
11.75,0.003918,9.75058
11.95,0.003987,9.88279
12.15,0.004064,10.0329
12.35,0.004127,10.1549
12.55,0.0042,10.2928
12.75,0.004271,10.4304
12.95,0.004341,10.5552
13.15,0.004413,10.6944
13.35,0.004484,10.8235
13.55,0.00455,10.9433
13.75,0.004629,11.093
13.95,0.004693,11.2099
14.15,0.004767,11.3363
14.35,0.004838,11.4728
14.55,0.004911,11.5865
14.75,0.004985,11.7212
14.95,0.005056,11.8507
15.15,0.005126,11.9641
15.35,0.005206,12.0998
15.55,0.005276,12.2097
15.75,0.005344,12.3232
15.95,0.005424,12.4591
16.15,0.005491,12.5667
16.35,0.005571,12.6898
16.55,0.00564,12.8063
16.75,0.005714,12.9246
16.95,0.005792,13.042
17.15,0.005869,13.1602
17.35,0.005938,13.2688
17.55,0.006018,13.3951
17.75,0.006093,13.5019
17.95,0.006171,13.6168
18.15,0.006244,13.7307
18.35,0.006319,13.8358
18.55,0.006395,13.9492
18.75,0.006469,14.0629
18.95,0.006546,14.1612
19.15,0.006628,14.2854
19.35,0.006701,14.3829
19.55,0.006782,14.4875
19.75,0.006859,14.6012
19.95,0.006936,14.6972
20.15,0.007017,14.8065
20.35,0.007096,14.9109
20.55,0.007176,15.0108
20.75,0.007262,15.1279
20.95,0.007337,15.2193
21.15,0.007414,15.3125
21.35,0.007496,15.4262
21.55,0.007573,15.5121
21.75,0.007663,15.615
21.95,0.007739,15.7139
22.15,0.007819,15.8028
22.35,0.007906,15.9162
23.35,0.00832,16.379
24.35,0.008739,16.8241
25.35,0.009167,17.2639
26.35,0.009603,17.6885
27.35,0.010021,18.0277
28.35,0.010058,17.7156
29.35,0.01008,17.5149
30.35,0.010099,17.3576
31.35,0.010113,17.2256
32.35,0.010126,17.1114
33.35,0.010133,17.0116
34.35,0.010141,16.9204
35.35,0.01015,16.8372
36.35,0.010155,16.7612
37.35,0.010163,16.6904
38.35,0.01017,16.6253
39.35,0.01017,16.5637
40.35,0.010176,16.5057
41.35,0.01018,16.4511
42.35,0.010182,16.3985
43.35,0.010188,16.3494
44.35,0.01019,16.3017
45.35,0.010193,16.2577
46.35,0.010193,16.2148
47.35,0.0102,16.1759
48.35,0.0102,16.1343
49.35,0.010206,16.0963
50.35,0.010207,16.0585
51.35,0.01021,16.0278
52.35,0.010209,15.9885
53.35,0.010213,15.9564
54.35,0.010216,15.9247
55.35,0.010218,15.8925
56.35,0.010217,15.8624
57.35,0.010221,15.8332
58.35,0.010224,15.8044
59.35,0.010227,15.7773
60.35,0.010224,15.751
61.35,0.010226,15.7233
62.35,0.010226,15.6995
63.35,0.010226,15.6729
64.35,0.010232,15.6496
65.35,0.010234,15.6254
66.35,0.010232,15.6018
67.35,0.010236,15.581
68.35,0.010236,15.5577
69.35,0.010238,15.5366
70.35,0.010236,15.5155
71.35,0.010236,15.4934
72.35,0.010237,15.4738
73.35,0.010242,15.4534
74.35,0.010243,15.434
75.35,0.010248,15.4158
76.35,0.010243,15.3963
77.35,0.010243,15.3786
78.35,0.010248,15.3609
79.35,0.010248,15.3434
80.35,0.010248,15.3267
81.35,0.010248,15.3053
82.35,0.01025,15.2935
83.35,0.010251,15.277
84.35,0.010252,15.257
85.35,0.010252,15.2429
86.35,0.010252,15.229
87.35,0.010258,15.2104
88.35,0.010254,15.1974
89.35,0.010255,15.1813
90.35,0.010256,15.1652
91.35,0.010256,15.1519
92.35,0.010255,15.1356
93.35,0.010261,15.1224
94.35,0.010259,15.1077
95.35,0.01026,15.0956
96.35,0.010256,15.0814
97.35,0.010261,15.0675
98.35,0.01026,15.0543
99.35,0.010259,15.042
100.35,0.010262,15.0295
101.35,0.010266,15.0158
102.35,0.010262,15.002
103.35,0.010264,14.9919
104.35,0.010263,14.9783
105.35,0.010265,14.9654
106.35,0.010261,14.9536
107.35,0.010268,14.9406
108.35,0.010271,14.9299
109.35,0.010269,14.9191
110.35,0.01027,14.9074
111.35,0.010266,14.8968
